6,2740
8,294
8,2107
8,2117
8,2125
8,2126
8,2133
10,3082
18,149
23,2129
26,2485
27,1829
29,1088
31,890
34,3424
36,2442
41,787
42,2975
43,883
45,195
46,394
49,999
50,3093
52,1435
52,1436
52,1447
52,1448
56,800
57,1385
63,2522
64,2251
70,2478
74,2006
78,1787
78,1788
78,1790
83,1183
84,3314
88,1377
92,732
95,283
98,642
98,692
98,693
98,955
98,956
98,957
98,958
100,2232
103,455
103,468
109,1443
111,739
113,2187
113,2188
113,2189
114,408
116,1890
117,75
123,3045
126,2509
130,1604
136,2482
141,3244
144,826
148,10
149,2656
150,2826
153,3321
154,829
155,2128
156,590
156,592
156,593
157,1949
179,2948
182,2109
182,2118
182,2124
182,2135
183,2990
194,3052
205,881
210,3104
211,3287
213,3073
213,3098
224,2334
226,498
229,1272
231,1724
232,123
233,2433
236,1435
236,1436
236,1447
236,1448
243,2699
243,2700
245,2772
248,2929
268,159
273,48
273,82
274,813
276,2648
289,3277
295,1184
300,3386
301,2173
306,832
307,186
308,1913
313,262
316,2574
317,3070
318,2889
326,2520
328,2810
331,207
332,1137
334,204
335,1866
336,2588
338,2898
340,1048
341,2050
347,2600
354,2433
355,1126
357,2504
360,2628
361,1592
362,1584
363,2109
363,2118
363,2124
363,2135
363,2136
368,2834
370,973
374,823
379,3309
382,1948
388,151
390,977
395,2473
398,3292
401,135
413,1734
414,811
416,2873
417,270
419,1669
422,376
423,2534
428,2967
430,1827
436,3062
439,2042
442,455
442,468
447,2821
448,750
449,755
454,2338
456,2142
457,672
458,1131
459,3040
460,1121
461,2840
467,1195
472,1397
472,1398
472,1399
472,3139
473,2106
484,829
486,3378
488,132
497,832
510,3118
514,157
518,819
520,2115
520,2738
521,2785
526,1139
527,2039
527,2043
531,122
535,1276
548,409
553,1848
554,2728
557,2629
562,2104
564,2898
565,1776
569,3442
572,761
577,702
577,1052
580,3243
581,3324
600,883
601,231
602,814
604,3090
605,1901
611,833
614,2137
615,3504
618,143
621,1182
630,2483
636,446
653,2901
655,2971
658,2405
667,2761
667,2762
668,15
669,2907
670,2149
673,850
676,2798
677,2423
683,830
684,2383
688,139
690,407
693,2244
697,1864
699,1435
699,1436
699,1447
699,1448
713,384
714,740
714,766
720,2384
726,2900
727,738
729,2439
730,1377
732,1551
732,1553
735,2044
740,2132
741,1877
744,1540
745,2679
748,1487
749,952
762,2836
765,590
765,592
765,593
769,2692
779,455
779,468
780,2107
780,2117
780,2125
780,2133
781,273
782,778
783,1332
785,2109
785,2118
785,2124
785,2135
785,2136
785,2137
786,425
788,1242
791,77
796,2434
800,815
810,1248
811,277
813,2471
813,2535
813,2543
814,1542
820,2622
823,3326
824,993
826,835
827,1563
828,2079
828,2083
828,2084
834,1539
835,2841
835,2852
835,2853
839,2736
839,2739
848,2525
856,635
857,1971
858,1585
865,420
868,2685
868,2693
870,2540
878,3046
881,284
882,2526
889,173
893,3166
901,828
904,137
906,3330
906,3331
906,3332
910,481
915,2819
917,1889
919,743
919,744
920,1290
921,3322
932,751
934,3162
934,3163
940,3079
943,2986
946,2337
951,1954
956,1511
962,2381
962,2538
969,2233
970,1740
972,1821
975,1802
978,2666
981,2102
981,2130
986,1845
994,1783
1001,1922
1006,15
1009,2488
1013,2516
1014,363
1015,2690
1015,2697
1019,1524
1025,3472
1027,789
1028,2092
1030,2630
1031,1985
1036,2172
1038,1435
1038,1436
1038,1447
1038,1448
1041,1809
1043,69
1050,366
1056,2445
1059,2134
1063,2377
1066,3066
1067,2173
1070,386
1070,388
1070,389
1077,1378
1077,1379
1084,1570
1085,1245
1091,2102
1091,2130
1092,763
1104,2053
1110,2578
1113,1435
1113,1436
1113,1447
1113,1448
1114,1023
1114,1030
1114,1033
1114,1051
1114,1056
1117,476
1120,909
1120,910
1122,2164
1124,2675
1126,831
1127,1817
1130,2537
1137,3453
1139,198
1141,623
1146,2419
1149,3244
1150,2656
1162,455
1162,468
1165,3212
1167,2249
1170,2600
1172,3474
1177,2843
1185,351
1185,352
1186,2471
1186,2535
1186,2543
1190,3085
1196,729
1199,3322
1202,210
1207,3273
1210,2216
1217,3053
1226,814
1227,1000
1228,2194
1229,2489
1233,3032
1237,3370
1246,340
1258,2892
1259,3081
1259,3086
1266,2112
1268,2316
1272,2766
1273,376
1281,812
1283,60
1294,3149
1296,357
1298,1235
1305,390
1306,2525
1310,1243
1310,1244
1313,752
1315,2901
1316,2061
1323,715
1325,1477
1330,2880
1340,822
1343,2527
1344,1581
1346,1114
1348,3047
1350,3333
1350,3336
1350,3338
1352,2211
1362,2187
1362,2188
1362,2189
1363,2530
1371,74
1372,2832
1373,946
1377,3084
1379,1334
1384,989
1390,1481
1393,307
1402,2764
1409,1294
1410,2505
1425,1031
1425,1054
1425,1055
1431,1314
1442,114
1445,2305
1450,808
1452,1125
1455,3131
1456,1281
1457,2288
1461,1414
1472,2333
1473,1555
1480,1828
1481,3068
1484,3078
1487,785
1488,1500
1488,1502
1488,1503
1488,1504
1489,483
1492,194
1495,3186
1496,3243
1497,2181
1499,1129
1500,472
1501,386
1501,388
1501,389
1503,3026
1503,3027
1503,3028
1507,2185
1520,1596
1520,2115
1520,2116
1521,1093
1525,1920
1531,768
1534,424
1551,1290
1560,2878
1562,2685
1562,2693
1572,2899
1572,2904
1574,2736
1574,2739
1575,2735
1586,2847
1586,2848
1590,1562
1601,2122
1605,291
1611,384
1628,817
1630,3426
1631,2634
1636,2510
1636,2511
1637,876
1641,3221
1646,454
1651,2102
1651,2130
1653,2431
1657,3098
1660,895
1663,2233
1663,2234
1663,2235
1664,1953
1669,807
1670,2101
1670,2111
1682,3000
1683,2297
1688,373
1690,2582
1695,333
1702,642
1702,692
1702,693
1702,955
1702,956
1702,957
1702,958
1705,2081
1705,2094
1705,2097
1716,12
1722,816
1726,2448
1736,2506
1739,1543
1741,3427
1741,3428
1747,834
1752,3056
1754,3042
1757,2888
1762,1692
1763,1216
1763,1217
1765,497
1766,2246
1766,2247
1767,2899
1767,2904
1768,8
1777,448
1784,1392
1788,1598
1790,372
1794,3254
1801,1165
1803,2532
1808,1435
1808,1436
1808,1447
1808,1448
1809,2723
1818,2412
1821,3213
1825,1499
1826,2441
1837,2429
1840,2194
1841,1550
1841,1552
1844,253
1845,3115
1847,2107
1847,2117
1847,2125
1847,2133
1848,2688
1850,292
1853,69
1855,101
1857,2432
1858,556
1866,952
1869,2160
1871,3074
1876,773
1876,774
1880,2686
1891,3286
1894,827
1899,1566
1902,3277
1904,893
1904,898
1910,2633
1920,3424
1921,2848
1924,2489
1925,3082
1926,3151
